Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,38,2,13.4,2.3,3.9,.584,0.0,0.0,,2.3,3.9,.584,.584,1.2,2.2,.530,1.3,2.6,3.8,0.5,0.4,0.5,0.9,1.6,5.7
Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,C,27,NOP,36,36,27.4,3.6,5.7,.629,0.0,0.1,.000,3.6,5.6,.635,.629,1.1,2.4,.459,4.0,5.2,9.2,2.0,0.9,0.6,1.5,1.8,8.3
Bam Adebayo,C,23,MIA,33,33,33.9,7.2,12.7,.563,0.1,0.2,.333,7.1,12.5,.567,.566,4.8,5.7,.847,2.2,7.3,9.5,5.4,0.9,1.0,3.0,2.4,19.2
LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,31,3,17.7,3.1,7.6,.409,1.0,3.5,.299,2.1,4.2,.500,.477,1.0,1.2,.816,0.2,2.4,2.5,1.9,0.9,0.3,1.2,1.6,8.3
Grayson Allen,SG,25,MEM,23,12,24.0,2.9,7.1,.409,2.0,4.9,.407,0.9,2.2,.412,.549,1.5,1.7,.895,0.3,2.5,2.8,2.2,1.0,0.1,0.9,1.3,9.3
Jarrett Allen,C,22,TOT,37,19,28.1,4.8,7.2,.659,0.1,0.2,.444,4.6,7.0,.667,.667,3.5,4.9,.717,3.1,6.7,9.8,1.7,0.5,1.7,1.5,1.6,13.1
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Jarrett Allen,C,22,CLE,25,14,28.7,5.3,8.1,.653,0.2,0.4,.444,5.1,7.7,.663,.663,3.3,4.8,.697,3.1,6.4,9.6,1.7,0.4,1.8,1.3,1.5,14.0
Al-Farouq Aminu,PF,30,ORL,12,9,19.5,1.6,4.6,.345,0.5,1.7,.300,1.1,2.9,.371,.400,0.8,0.9,.818,1.1,3.3,4.4,1.4,1.0,0.4,1.3,1.3,4.4
Kyle Anderson,PF,27,MEM,33,33,27.1,4.8,10.0,.480,1.5,3.9,.375,3.3,6.1,.547,.553,2.0,2.6,.767,0.9,5.1,5.9,3.4,1.1,0.6,1.4,1.7,13.0
Giannis Antetokounmpo,PF,26,MIL,37,37,33.9,10.5,18.7,.561,1.1,3.8,.296,9.4,14.9,.629,.591,6.9,10.2,.672,1.9,9.7,11.6,6.1,1.2,1.4,3.6,3.0,29.0
Kostas Antetokounmpo,PF,23,LAL,3,0,6.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,2.0,2.7,0.0,0.3,0.7,1.7,1.0,1.0
